[1] ADD,kHMjwfSx2P,63511.53 
[130] QUOTE,yAAurFarHT,LED 
[131] QUOTE,YET2WF8iGL,HZQ 
[132] CANCEL_SET_BUY,13VC8b11Q6,CRJ 
[133] BUY,qoExOgAPyd,ODH,33.10 
[134] BUY,r9sY6ykQwB,MFG,568.54 
[135] BUY,h0Ib8LzTs9,CNC,741.29 
[136] QUOTE,pz8HIUVPXH,STS 
[137] ADD,ItaC6MIk2c,57923.64 
[138] CANCEL_SELL,13VC8b11Q6 
[139] SET_SELL_TRIGGER,r9sY6ykQwB,UCS,115.46 
[140] CANCEL_SET_SELL,zVGmOyE2TY,DUW 
[141] SET_BUY_AMOUNT,RtgbNlNQ82,YZB,592.18 
[142] SET_BUY_AMOUNT,bfIjLoap9T,BXC,242.71 
[143] ADD,izXvHOmJ6Y,77931.15 
[144] BUY,NmALn2RmzI,JBQ,342.56 
[145] QUOTE,YIgPFTE1M7,OTW 
[146] CANCEL_SELL,R4lbhHC1hS 
[147] CANCEL_SET_BUY,Js6LySzcEQ,KLF 
[148] BUY,QPKBykFnxr,ABQ,573.57 
[149] QUOTE,Js6LySzcEQ,TWQ 
[150] SET_BUY_TRIGGER,tK1JNuy0li,PZL,72.22 
[151] CANCEL_BUY,r9sY6ykQwB 
[152] SELL,qEVRIEnox8,ZFP,341.06 
[153] BUY,ItaC6MIk2c,SWC,276.67 
[154] BUY,pz8HIUVPXH,YRS,180.22 
[155] COMMIT_BUY,JPE6oMVt1b 
[156] QUOTE,La1eSbNL6p,CHG 
[157] QUOTE,CxzX2w8DmS,ODH 
[158] COMMIT_SELL,QPKBykFnxr 
[159] COMMIT_SELL,IkWXoni8ti 
[160] DISPLAY_SUMMARY,mMQlpMeOfD 
[161] SET_BUY_TRIGGER,RtgbNlNQ82,YZB,394.84 
[162] BUY,QPKBykFnxr,PGD,288.89 
[163] COMMIT_SELL,qEVRIEnox8 
[164] BUY,NmALn2RmzI,JXE,561.69 
[165] QUOTE,PDwyOp2gzv,SFY 
[166] ADD,wMcCWGxtZb,73289.81 
[167] SET_SELL_TRIGGER,yAAurFarHT,BFA,28.48 
[168] ADD,uspV5YXJSf,56171.48 
[169] ADD,IkWXoni8ti,37439.88 
[170] CANCEL_BUY,h0Ib8LzTs9 
[171] COMMIT_BUY,QPKBykFnxr 
[172] SET_SELL_TRIGGER,Js6LySzcEQ,HZQ,80.28 
[173] BUY,PDwyOp2gzv,IKA,140.28 
[174] DISPLAY_SUMMARY,CvCH8jPh2i 
[175] COMMIT_BUY,pz8HIUVPXH 
[176] CANCEL_SET_SELL,e6Ql5cbsux,TFP 
[177] SELL,tK1JNuy0li,YYX,599.57 
[178] SET_BUY_AMOUNT,pz8HIUVPXH,BMJ,323.96 
[179] SET_SELL_TRIGGER,JPE6oMVt1b,BXC,21.92 
[180] SET_SELL_AMOUNT,tK1JNuy0li,KUZ,28.78 
[181] CANCEL_BUY,LHA4yFlv3r 
[182] BUY,jK70t6xffU,MAP,436.76 
[183] CANCEL_SELL,TMxB3eAn63 
[184] ADD,YET2WF8iGL,69112.18 
[185] BUY,wMcCWGxtZb,DKJ,737.08 
[186] ADD,h0Ib8LzTs9,54840.49 
[187] COMMIT_BUY,ItaC6MIk2c 
[188] COMMIT_BUY,Kt8I7sdBcS 
[189] DISPLAY_SUMMARY,NmALn2RmzI 
[190] SET_SELL_TRIGGER,tK1JNuy0li,KUZ,8.58 
[191] BUY,qkUYmnHXvb,PZL,579.94 
[192] CANCEL_SET_SELL,e6Ql5cbsux,PXD 
[193] COMMIT_SELL,L3qfH51ukK 
[194] CANCEL_SET_SELL,13VC8b11Q6,MFG 
[195] SET_BUY_TRIGGER,kHMjwfSx2P,VOT,64.27 
[196] ADD,RtgbNlNQ82,79216.95 
[197] CANCEL_BUY,E9DHfAjHfd 
[198] QUOTE,bfIjLoap9T,YYX 
[199] CANCEL_SELL,kHMjwfSx2P 
[200] COMMIT_SELL,mZFoN64osd 
[201] QUOTE,RtgbNlNQ82,TKB 
[202] CANCEL_SET_SELL,NmALn2RmzI,RPF 
[203] COMMIT_BUY,tK1JNuy0li 
[204] CANCEL_SET_BUY,LHA4yFlv3r,YYX 
[205] SELL,E5CusuUGY3,RPF,501.23 
[206] SET_SELL_AMOUNT,wMcCWGxtZb,OTW,14.34 
[207] SET_SELL_TRIGGER,wMcCWGxtZb,OTW,4.03 
[208] DISPLAY_SUMMARY,13VC8b11Q6 
[209] QUOTE,izXvHOmJ6Y,PGD 
[210] COMMIT_BUY,PDwyOp2gzv 
[211] SET_SELL_TRIGGER,NmALn2RmzI,ZRU,128.67 
[212] QUOTE,bfIjLoap9T,BXC 
[213] COMMIT_BUY,tK1JNuy0li 
[214] QUOTE,tK1JNuy0li,UCS 
[215] SELL,CxzX2w8DmS,ACY,698.90 
[216] DISPLAY_SUMMARY,ItaC6MIk2c 
[217] CANCEL_SET_BUY,Js6LySzcEQ,ACY 
[218] QUOTE,bfIjLoap9T,NAI 
[219] SET_SELL_TRIGGER,13VC8b11Q6,TWQ,17.67 
[220] CANCEL_SET_SELL,13VC8b11Q6,PZL 
[221] COMMIT_SELL,zVGmOyE2TY 
[222] CANCEL_SET_SELL,NmALn2RmzI,XYR 
[223] QUOTE,IkWXoni8ti,LPF 
[224] ADD,E9DHfAjHfd,77616.11 
[225] DISPLAY_SUMMARY,zVGmOyE2TY 
[226] QUOTE,CvCH8jPh2i,LPF 
[227] DISPLAY_SUMMARY,mZFoN64osd 
[228] SET_SELL_AMOUNT,r9sY6ykQwB,KLF,186.58 
[229] DISPLAY_SUMMARY,Js6LySzcEQ 
[230] ADD,LHA4yFlv3r,95386.45 
[231] SET_BUY_TRIGGER,pz8HIUVPXH,UUG,147.77 
[232] CANCEL_BUY,wMcCWGxtZb 
[233] QUOTE,Js6LySzcEQ,ABQ 
[234] DISPLAY_SUMMARY,qEVRIEnox8 
[235] COMMIT_BUY,qkUYmnHXvb 
[236] ADD,e6Ql5cbsux,78869.24 
[237] BUY,JPE6oMVt1b,WXO,442.03 
[238] QUOTE,NmALn2RmzI,TNV 
[239] BUY,E9DHfAjHfd,HMX,656.94 
[240] QUOTE,YET2WF8iGL,HGW 
[241] QUOTE,R4lbhHC1hS,TWQ 
[242] COMMIT_SELL,NmALn2RmzI 
[243] COMMIT_BUY,whcYxtH67L 
[244] CANCEL_BUY,wMcCWGxtZb 
[245] SELL,mMQlpMeOfD,WXZ,348.07 
[246] COMMIT_SELL,CxzX2w8DmS 
[247] COMMIT_BUY,jK70t6xffU 
[248] CANCEL_BUY,jK70t6xffU 
[249] CANCEL_SELL,BDty3gMxBy 
[250] ADD,qEVRIEnox8,60346.07 
[251] DISPLAY_SUMMARY,E9DHfAjHfd 
[252] COMMIT_SELL,zVGmOyE2TY 
[253] BUY,tK1JNuy0li,WYB,709.35 
[254] COMMIT_SELL,CxzX2w8DmS 
[255] SET_SELL_TRIGGER,r9sY6ykQwB,KLF,77.59 
[256] SET_SELL_AMOUNT,r9sY6ykQwB,IFV,649.05 
[257] CANCEL_BUY,L3qfH51ukK 
[258] DISPLAY_SUMMARY,13VC8b11Q6 
[259] SET_SELL_TRIGGER,r9sY6ykQwB,IFV,119.83 
[260] ADD,pz8HIUVPXH,75705.06 
[261] QUOTE,qEVRIEnox8,DKJ 
[262] DISPLAY_SUMMARY,kHMjwfSx2P 
[263] QUOTE,zVGmOyE2TY,PZL 
[264] BUY,zVGmOyE2TY,RPF,289.45 
[265] COMMIT_SELL,RtgbNlNQ82 
[266] SET_BUY_TRIGGER,E5CusuUGY3,AAL,49.64 
[267] CANCEL_SET_BUY,Z14JubX5Uv,YYX 
[268] ADD,wMcCWGxtZb,54863.27 
[269] QUOTE,Kt8I7sdBcS,ACY 
[270] SELL,mZFoN64osd,BMJ,87.36 
[271] CANCEL_SET_BUY,13VC8b11Q6,WXO 
[272] COMMIT_BUY,YET2WF8iGL 
[273] DISPLAY_SUMMARY,mZFoN64osd 
[274] QUOTE,qEVRIEnox8,SBK 
[275] DISPLAY_SUMMARY,zVGmOyE2TY 
[276] CANCEL_SET_SELL,izXvHOmJ6Y,PZL 
[277] COMMIT_SELL,mMQlpMeOfD 
[278] CANCEL_BUY,mMQlpMeOfD 
[279] CANCEL_SELL,r9sY6ykQwB 
[280] QUOTE,h0Ib8LzTs9,TKB 
[281] QUOTE,h0Ib8LzTs9,TWQ 
[282] DISPLAY_SUMMARY,mZFoN64osd 
[283] DISPLAY_SUMMARY,Js6LySzcEQ 
[284] QUOTE,qoExOgAPyd,VJT 
[285] SET_SELL_TRIGGER,qoExOgAPyd,ZFP,175.73 
[286] BUY,uspV5YXJSf,NAI,415.76 
[287] QUOTE,LHA4yFlv3r,TKB 
[288] QUOTE,e6Ql5cbsux,RPF 
[289] CANCEL_SET_BUY,Kt8I7sdBcS,CHG 
[290] SET_BUY_AMOUNT,mZFoN64osd,BMJ,330.87 
[291] BUY,7nGIkyoUrD,RYI,164.77 
[292] COMMIT_BUY,BxWlges22v 
[293] SET_SELL_AMOUNT,jK70t6xffU,BMJ,702.63 
[294] COMMIT_BUY,7nGIkyoUrD 
[295] BUY,e6Ql5cbsux,UDM,468.32 
[296] CANCEL_BUY,tK1JNuy0li 
[297] ADD,YET2WF8iGL,69707.34 
[298] COMMIT_SELL,BDty3gMxBy 
[299] CANCEL_SET_SELL,E5CusuUGY3,MAP 
[300] BUY,E9DHfAjHfd,TNV,145.37 
[301] CANCEL_BUY,NmALn2RmzI 
[302] BUY,La1eSbNL6p,MFC,558.37 
[303] DISPLAY_SUMMARY,13VC8b11Q6 
[304] CANCEL_BUY,mMQlpMeOfD 
[305] BUY,pTZZjie7eX,NAI,394.00 
[306] BUY,wMcCWGxtZb,QDU,501.16 
[307] BUY,YIgPFTE1M7,MFC,152.05 
[308] CANCEL_SET_BUY,TMxB3eAn63,MOE 
[309] BUY,LHA4yFlv3r,PZL,735.77 
[310] ADD,R4lbhHC1hS,69276.69 
[311] CANCEL_BUY,BxWlges22v 
[312] BUY,bfIjLoap9T,KUZ,667.69 
[313] BUY,7nGIkyoUrD,JXE,402.72 
[314] COMMIT_BUY,uspV5YXJSf 
[315] CANCEL_SELL,tK1JNuy0li 
[316] CANCEL_SET_SELL,jK70t6xffU,BMJ 
[317] BUY,Kt8I7sdBcS,UED,163.66 
[318] DISPLAY_SUMMARY,E5CusuUGY3 
[319] SET_BUY_AMOUNT,JPE6oMVt1b,BMJ,56.11 
[320] SET_SELL_TRIGGER,zVGmOyE2TY,LPF,6.23 
[321] SET_BUY_AMOUNT,7nGIkyoUrD,BMJ,156.90 
[322] SET_SELL_AMOUNT,CxzX2w8DmS,LNW,133.25 
[323] COMMIT_BUY,e6Ql5cbsux 
[324] CANCEL_SELL,CvCH8jPh2i 
[325] COMMIT_BUY,LHA4yFlv3r 
[326] CANCEL_BUY,LHA4yFlv3r 
[327] BUY,Z14JubX5Uv,WVC,154.68 
[328] COMMIT_BUY,La1eSbNL6p 
[329] COMMIT_BUY,YIgPFTE1M7 
[330] ADD,qkUYmnHXvb,70000.65 
[331] SET_BUY_TRIGGER,E9DHfAjHfd,BXC,12.25 
[332] QUOTE,Js6LySzcEQ,AAL 
[333] BUY,YET2WF8iGL,BFA,529.78 
[334] CANCEL_SET_SELL,izXvHOmJ6Y,YZB 
[335] CANCEL_BUY,qoExOgAPyd 
[336] SELL,E9DHfAjHfd,SUN,282.19 
[337] DISPLAY_SUMMARY,uspV5YXJSf 
[338] QUOTE,BxWlges22v,GGR 
[339] CANCEL_BUY,Kt8I7sdBcS 
[340] SET_SELL_TRIGGER,YET2WF8iGL,BMJ,42.60 
[341] SET_SELL_TRIGGER,CxzX2w8DmS,LNW,127.52 
[342] SET_BUY_AMOUNT,bfIjLoap9T,BMJ,359.90 
[343] COMMIT_BUY,PDwyOp2gzv 
[344] SET_SELL_TRIGGER,TMxB3eAn63,RPF,4.33 
[345] QUOTE,qkUYmnHXvb,GWE 
[346] SET_SELL_AMOUNT,RtgbNlNQ82,ZRU,712.93 
[347] QUOTE,Js6LySzcEQ,SLF 
[348] QUOTE,qkUYmnHXvb,WXZ 
[349] QUOTE,BxWlges22v,QDU 
[350] COMMIT_SELL,yAAurFarHT 
[351] CANCEL_SET_SELL,mMQlpMeOfD,JLX 
[352] BUY,Js6LySzcEQ,VVL,339.06 
[353] CANCEL_SELL,yAAurFarHT 
[354] BUY,Kt8I7sdBcS,CXT,239.16 
[355] CANCEL_SET_BUY,jK70t6xffU,SWC 
[356] CANCEL_SELL,pz8HIUVPXH 
[357] ADD,YIgPFTE1M7,65232.11 
[358] BUY,JPE6oMVt1b,UDM,518.60 
[359] BUY,h0Ib8LzTs9,PXD,6.40 
[360] CANCEL_SET_BUY,E5CusuUGY3,MAP 
[361] BUY,NmALn2RmzI,RDD,45.97 
[362] DISPLAY_SUMMARY,e6Ql5cbsux 
[363] QUOTE,CxzX2w8DmS,UQO 
[364] ADD,E5CusuUGY3,86425.06 
[365] COMMIT_BUY,wMcCWGxtZb 
[366] BUY,tK1JNuy0li,GGV,111.36 
[367] CANCEL_SET_SELL,zVGmOyE2TY,NPD 
[368] DISPLAY_SUMMARY,13VC8b11Q6 
[369] CANCEL_BUY,JPE6oMVt1b 
[370] ADD,E9DHfAjHfd,41890.15 
[371] SET_BUY_AMOUNT,TMxB3eAn63,XYR,614.05 
[372] ADD,CvCH8jPh2i,76422.75 
[373] CANCEL_SET_SELL,Kt8I7sdBcS,PMO 
[374] COMMIT_BUY,Z14JubX5Uv 
[375] COMMIT_BUY,kHMjwfSx2P 
[376] SET_BUY_AMOUNT,yAAurFarHT,TFP,227.16 
[377] SELL,YET2WF8iGL,VJT,618.58 
[378] CANCEL_SET_BUY,QPKBykFnxr,VVL 
[379] CANCEL_SELL,e6Ql5cbsux 
[380] CANCEL_SELL,h0Ib8LzTs9 
[381] SET_BUY_TRIGGER,mZFoN64osd,XTF,160.84 
[382] DISPLAY_SUMMARY,Js6LySzcEQ 
[383] SET_BUY_TRIGGER,pTZZjie7eX,SWC,29.36 
[384] CANCEL_SET_SELL,QPKBykFnxr,ZFP 
[385] CANCEL_SET_BUY,La1eSbNL6p,CHG 
[386] DISPLAY_SUMMARY,jK70t6xffU 
[387] DISPLAY_SUMMARY,izXvHOmJ6Y 
[388] QUOTE,YIgPFTE1M7,WBS 
[389] SET_SELL_TRIGGER,RtgbNlNQ82,ZRU,696.67 
[390] DISPLAY_SUMMARY,r9sY6ykQwB 
[391] SET_BUY_TRIGGER,7nGIkyoUrD,UCS,148.57 
[392] SET_BUY_TRIGGER,BDty3gMxBy,YNA,139.05 
[393] QUOTE,LHA4yFlv3r,AAL 
[394] SET_BUY_TRIGGER,yAAurFarHT,TFP,139.72 
[395] SET_BUY_TRIGGER,BDty3gMxBy,WXZ,22.23 
[396] QUOTE,qkUYmnHXvb,ZRU 
[397] QUOTE,whcYxtH67L,LPF 
[398] COMMIT_BUY,e6Ql5cbsux 
[399] SET_SELL_AMOUNT,Z14JubX5Uv,BMJ,456.29 
[400] CANCEL_BUY,Kt8I7sdBcS 
[401] COMMIT_BUY,IkWXoni8ti 
[402] BUY,YIgPFTE1M7,LPF,445.11 
[403] ADD,r9sY6ykQwB,83434.58 
[404] COMMIT_BUY,mZFoN64osd 
[405] CANCEL_SET_BUY,L3qfH51ukK,RDD 
[406] QUOTE,r9sY6ykQwB,ZRU 
[407] ADD,CxzX2w8DmS,80964.36 
[408] BUY,CxzX2w8DmS,VJT,73.23 
[409] QUOTE,BDty3gMxBy,DUW 
[410] CANCEL_SET_SELL,QPKBykFnxr,YZB 
[411] QUOTE,QPKBykFnxr,TKB 
[412] CANCEL_BUY,e6Ql5cbsux 
[413] ADD,e6Ql5cbsux,78667.86 
[414] QUOTE,R4lbhHC1hS,CXT 
[415] DISPLAY_SUMMARY,izXvHOmJ6Y 
[416] SELL,BDty3gMxBy,KME,83.76 
[417] BUY,QPKBykFnxr,JXE,632.37 
[418] COMMIT_BUY,QPKBykFnxr 
[419] SET_BUY_TRIGGER,jK70t6xffU,VVL,169.56 
[420] SELL,RtgbNlNQ82,SWC,415.01 
[421] SET_SELL_TRIGGER,PDwyOp2gzv,RDD,116.40 
[422] QUOTE,qoExOgAPyd,VVL 
[423] BUY,LHA4yFlv3r,BFA,609.51 
[424] SELL,JPE6oMVt1b,BMJ,532.03 
[425] CANCEL_SET_BUY,7nGIkyoUrD,HJE 
[426] COMMIT_SELL,mMQlpMeOfD 
[427] QUOTE,CvCH8jPh2i,QTG 
[428] BUY,e6Ql5cbsux,QDU,18.15 
[429] QUOTE,uspV5YXJSf,HJE 
[430] SET_SELL_AMOUNT,mZFoN64osd,BMJ,94.24 
[431] QUOTE,qEVRIEnox8,PZL 
[432] QUOTE,R4lbhHC1hS,ZRU 
[433] QUOTE,ItaC6MIk2c,MFG 
[434] SET_SELL_TRIGGER,mZFoN64osd,BMJ,30.44 
[435] QUOTE,E9DHfAjHfd,QTG 
[436] BUY,BxWlges22v,TYW,112.64 
[437] SELL,wMcCWGxtZb,BMJ,587.82 
[438] COMMIT_BUY,tK1JNuy0li 
[439] BUY,Js6LySzcEQ,TYW,406.37 
[440] COMMIT_BUY,YIgPFTE1M7 
[441] SET_SELL_TRIGGER,Z14JubX5Uv,BMJ,223.16 
[442] DISPLAY_SUMMARY,ItaC6MIk2c 
[443] CANCEL_SET_BUY,whcYxtH67L,VJT 
[444] CANCEL_SET_SELL,yAAurFarHT,LNW 
[445] COMMIT_SELL,LHA4yFlv3r 
[446] BUY,qEVRIEnox8,UUG,749.64 
[447] ADD,ItaC6MIk2c,70604.71 
[448] BUY,ItaC6MIk2c,HJE,656.89 
[449] DISPLAY_SUMMARY,bfIjLoap9T 
[450] SELL,JPE6oMVt1b,WXZ,660.73 
[451] QUOTE,NmALn2RmzI,GWE 
[452] COMMIT_SELL,pz8HIUVPXH 
[453] DISPLAY_SUMMARY,tK1JNuy0li 
[454] ADD,NmALn2RmzI,80156.34 
[455] BUY,uspV5YXJSf,BXC,173.53 
[456] COMMIT_SELL,qEVRIEnox8 
[457] CANCEL_SET_BUY,TMxB3eAn63,XYR 
[458] CANCEL_SET_SELL,Kt8I7sdBcS,YYX 
[459] QUOTE,CvCH8jPh2i,XXD 
[460] ADD,JPE6oMVt1b,78533.50 
[461] QUOTE,CvCH8jPh2i,EJK 
[462] QUOTE,E9DHfAjHfd,PZL 
[463] CANCEL_BUY,ItaC6MIk2c 
[464] ADD,pTZZjie7eX,66165.32 
[465] COMMIT_SELL,YET2WF8iGL 
[466] BUY,yAAurFarHT,XYR,538.36 
[467] ADD,TMxB3eAn63,64337.97 
[468] ADD,QPKBykFnxr,65561.69 
[469] SET_BUY_AMOUNT,R4lbhHC1hS,XYR,79.30 
[470] SET_BUY_TRIGGER,e6Ql5cbsux,BXC,133.22 
[471] COMMIT_SELL,IkWXoni8ti 
[472] SET_BUY_AMOUNT,r9sY6ykQwB,UDM,210.04 
[473] COMMIT_SELL,ItaC6MIk2c 
[474] SELL,izXvHOmJ6Y,VQZ,346.69 
[475] CANCEL_SET_SELL,PDwyOp2gzv,RPN 
[476] COMMIT_BUY,PDwyOp2gzv 
[477] SET_BUY_TRIGGER,R4lbhHC1hS,XYR,12.03 
[478] CANCEL_SET_SELL,zVGmOyE2TY,PFG 
[479] BUY,mZFoN64osd,COI,694.28 
[480] SELL,La1eSbNL6p,BMJ,247.90 
[481] COMMIT_BUY,Kt8I7sdBcS 
[482] BUY,7nGIkyoUrD,JXE,467.02 
[483] ADD,NmALn2RmzI,47872.98 
[484] CANCEL_SELL,pz8HIUVPXH 
[485] QUOTE,h0Ib8LzTs9,RPF 
[486] COMMIT_BUY,mZFoN64osd 
[487] SET_SELL_TRIGGER,tK1JNuy0li,WXZ,112.92 
[488] COMMIT_SELL,izXvHOmJ6Y 
[489] SET_SELL_TRIGGER,jK70t6xffU,MAP,84.68 
[490] COMMIT_SELL,wMcCWGxtZb 
[491] CANCEL_SELL,JPE6oMVt1b 
[492] BUY,mZFoN64osd,HIZ,215.71 
[493] CANCEL_SET_SELL,ItaC6MIk2c,HGW 
[494] ADD,e6Ql5cbsux,66489.94 
[495] CANCEL_BUY,BxWlges22v 
[496] CANCEL_SET_BUY,Js6LySzcEQ,GWE 
[497] ADD,PDwyOp2gzv,71776.67 
[498] QUOTE,pTZZjie7eX,SFY 
[499] CANCEL_BUY,pz8HIUVPXH 
[500] COMMIT_BUY,CxzX2w8DmS 
[501] CANCEL_BUY,13VC8b11Q6 
[502] QUOTE,PDwyOp2gzv,WXZ 
[503] ADD,mMQlpMeOfD,74722.14 
[504] DISPLAY_SUMMARY,ItaC6MIk2c 
[505] SET_SELL_AMOUNT,h0Ib8LzTs9,CXT,14.78 
[506] CANCEL_SELL,wMcCWGxtZb 
[507] QUOTE,CxzX2w8DmS,RPF 
[508] SET_BUY_AMOUNT,BxWlges22v,BMJ,216.42 
[509] BUY,L3qfH51ukK,VAL,581.34 
[510] SELL,h0Ib8LzTs9,TYW,338.91 
