[1] ADD,lLn3fa1FIk,75576.00 
[187] SET_SELL_AMOUNT,xka9Jdr7ac,FDI,322.31 
[188] ADD,uWX4TGhR6O,77184.30 
[189] DISPLAY_SUMMARY,wYQUhjq8PE 
[190] SET_BUY_AMOUNT,4vBuSX8YYJ,YBP,468.77 
[191] SET_BUY_AMOUNT,xKgBJKhIlx,AOU,2.89 
[192] QUOTE,NmnabmB6tO,IQZ 
[193] COMMIT_BUY,t56BLlGu3K 
[194] DISPLAY_SUMMARY,NmnabmB6tO 
[195] COMMIT_BUY,LX1FeVjg6k 
[196] QUOTE,F3iruDCI8F,QWC 
[197] QUOTE,NmnabmB6tO,YBP 
[198] BUY,YBTGw9v3Cl,CXC,173.08 
[199] COMMIT_BUY,x8GMbOCXJX 
[200] SET_SELL_AMOUNT,VEusTtq5S7,ASJ,309.20 
[201] SET_SELL_TRIGGER,hrINHOrbWw,LLZ,180.41 
[202] BUY,eGGeSBtfEQ,IOM,507.80 
[203] CANCEL_SELL,n9qniWnHrs 
[204] CANCEL_SELL,vRUafgIjuV 
[205] DISPLAY_SUMMARY,8xgyjkdphP 
[206] ADD,LAu7ZpcWWv,48692.02 
[207] ADD,lLn3fa1FIk,58152.13 
[208] BUY,U4jQmk30QS,AJX,314.80 
[209] SET_SELL_TRIGGER,AwEXQhdKGW,JUG,108.97 
[210] BUY,4vBuSX8YYJ,ECL,251.18 
[211] ADD,q0Qp5MF3CI,56949.71 
[212] ADD,7Jo2brvLiF,94714.38 
[213] COMMIT_SELL,mR1GL8In4q 
[214] SET_SELL_AMOUNT,kryOHlcACM,LKK,225.05 
[215] SET_SELL_TRIGGER,XeYo2ezKey,ZSV,145.75 
[216] SET_BUY_TRIGGER,BOvGL2MRxg,DMS,106.29 
[217] ADD,hPnf9OsmbW,79437.63 
[218] BUY,y5IWeezXEN,URY,221.08 
[219] CANCEL_BUY,8IA1PUK3hd 
[220] CANCEL_SET_BUY,UUcfl1X3U9,MRK 
[221] SET_BUY_AMOUNT,LAu7ZpcWWv,VUS,98.14 
[222] COMMIT_BUY,n4E566ZogW 
[223] COMMIT_SELL,oAd3QaqYgz 
[224] SET_SELL_AMOUNT,3mEsf51UBo,KEV,371.68 
[225] SET_SELL_TRIGGER,kryOHlcACM,LKK,167.89 
[226] SET_SELL_AMOUNT,LX1FeVjg6k,QJZ,351.71 
[227] ADD,xgci4T0tkO,58853.42 
[228] QUOTE,ZVyQqBS4Yw,XPX 
[229] QUOTE,NcGvD9d4mj,OLH 
[230] COMMIT_SELL,n4E566ZogW 
[231] QUOTE,WUsol6wtDm,FQP 
[232] CANCEL_BUY,4vBuSX8YYJ 
[233] COMMIT_BUY,etWfSg2zBt 
[234] CANCEL_BUY,p876fU7BEx 
[235] SET_BUY_AMOUNT,oAd3QaqYgz,WJS,185.08 
[236] SELL,dALWhJa374,MXD,237.24 
[237] DISPLAY_SUMMARY,cehNQrvm7R 
[238] BUY,FjKEXA3hdZ,SJG,498.46 
[239] CANCEL_SELL,mR1GL8In4q 
[240] SELL,8xgyjkdphP,EGX,329.40 
[241] BUY,7UUhSRHInh,YBP,563.51 
[242] SELL,etWfSg2zBt,QJZ,335.67 
[243] BUY,hPnf9OsmbW,OSC,699.15 
[244] DISPLAY_SUMMARY,xka9Jdr7ac 
[245] COMMIT_SELL,TViJpUe5JR 
[246] BUY,XeYo2ezKey,MQP,57.53 
[247] ADD,p876fU7BEx,61319.71 
[248] ADD,qE6dGnwk51,62783.30 
[249] SELL,x8GMbOCXJX,QJZ,613.77 
[250] ADD,mR1GL8In4q,50481.96 
[251] ADD,9RCeWXbzj9,63378.58 
[252] QUOTE,gou39c5KlQ,IZJ 
[253] SET_SELL_TRIGGER,t56BLlGu3K,ZKV,148.09 
[254] QUOTE,akVcdarOA3,VDP 
[255] CANCEL_SELL,FOsYiQU5Qk 
[256] SET_BUY_AMOUNT,xka9Jdr7ac,UGG,610.93 
[257] BUY,xgci4T0tkO,YOQ,339.17 
[258] COMMIT_BUY,XeYo2ezKey 
[259] COMMIT_SELL,dALWhJa374 
[260] QUOTE,8IA1PUK3hd,LLD 
[261] ADD,t56BLlGu3K,72565.07 
[262] CANCEL_BUY,pIkIgs3Y8E 
[263] SET_SELL_TRIGGER,CetaglZj6n,VVW,42.85 
[264] CANCEL_SELL,7UUhSRHInh 
[265] ADD,v2iT5RAbiA,57923.86 
[266] COMMIT_BUY,xgci4T0tkO 
[267] QUOTE,e7Zw0RBCl6,MIR 
[268] CANCEL_SELL,7Jo2brvLiF 
[269] SET_BUY_TRIGGER,HBb0dWvkmH,OAV,176.96 
[270] COMMIT_BUY,eGGeSBtfEQ 
[271] SELL,e7Zw0RBCl6,QJZ,57.33 
[272] BUY,TRCadzjH8F,TXB,137.50 
[273] ADD,XeYo2ezKey,67747.26 
[274] SET_BUY_AMOUNT,x8GMbOCXJX,QJZ,142.40 
[275] ADD,t56BLlGu3K,76703.04 
[276] DISPLAY_SUMMARY,HBb0dWvkmH 
[277] QUOTE,F0mQHf8fev,STQ 
[278] COMMIT_BUY,YBTGw9v3Cl 
[279] QUOTE,UUcfl1X3U9,EGX 
[280] BUY,F3iruDCI8F,JXW,75.91 
[281] ADD,e6JAmPjBmb,96407.84 
[282] QUOTE,AwEXQhdKGW,ZZD 
[283] BUY,XwKSBoZ6lO,WAO,647.35 
[284] SET_SELL_AMOUNT,wYQUhjq8PE,HCN,43.59 
[285] COMMIT_BUY,2GizxWZj6J 
[286] SET_BUY_AMOUNT,TViJpUe5JR,ZJB,695.99 
[287] CANCEL_SET_BUY,Z5Z6RJO7ho,RKY 
[288] SET_SELL_TRIGGER,eGGeSBtfEQ,PXX,193.53 
[289] DISPLAY_SUMMARY,e7Zw0RBCl6 
[290] BUY,CetaglZj6n,SCK,99.64 
[291] SET_BUY_TRIGGER,LAu7ZpcWWv,VUS,78.32 
[292] SELL,q0Qp5MF3CI,OYW,219.01 
[293] ADD,ooUBBK63Qe,53157.82 
[294] COMMIT_BUY,XwKSBoZ6lO 
[295] ADD,k5RWRveCOY,68893.49 
[296] ADD,cehNQrvm7R,76882.62 
[297] ADD,7Jo2brvLiF,70274.99 
[298] SET_SELL_TRIGGER,7UUhSRHInh,IPH,100.37 
[299] QUOTE,OO6PWyjuYk,KXF 
[300] CANCEL_SET_BUY,TViJpUe5JR,ZJB 
[301] BUY,xka9Jdr7ac,JXW,23.77 
[302] QUOTE,ooUBBK63Qe,VCN 
[303] BUY,cehNQrvm7R,IFC,616.19 
[304] ADD,hQaIWhluU7,70082.66 
[305] BUY,k5RWRveCOY,RJG,690.81 
[306] BUY,q0Qp5MF3CI,GKD,577.16 
[307] SET_SELL_AMOUNT,pIkIgs3Y8E,SYT,720.90 
[308] SET_SELL_TRIGGER,REUXfFUthD,IDX,188.75 
[309] DISPLAY_SUMMARY,oAd3QaqYgz 
[310] SET_BUY_AMOUNT,69DAEr1YIe,XPX,119.30 
[311] CANCEL_SET_BUY,XwKSBoZ6lO,AJX 
[312] BUY,kryOHlcACM,OYX,695.61 
[313] QUOTE,LAu7ZpcWWv,CVK 
[314] SET_BUY_TRIGGER,CetaglZj6n,JJW,119.14 
[315] QUOTE,HGsodwsfKO,MQH 
[316] SET_SELL_TRIGGER,XwKSBoZ6lO,ZEU,45.92 
[317] SET_SELL_TRIGGER,oAd3QaqYgz,BCQ,78.62 
[318] COMMIT_BUY,kryOHlcACM 
[319] QUOTE,3mEsf51UBo,XFH 
[320] SET_SELL_AMOUNT,TRCadzjH8F,NEV,89.90 
[321] SET_BUY_TRIGGER,g3Xh0OB6vf,LJM,190.78 
[322] DISPLAY_SUMMARY,vRUafgIjuV 
[323] COMMIT_BUY,nV1jqGc3b6 
[324] BUY,UuEeoiTzyl,APY,708.19 
[325] SET_SELL_TRIGGER,0oVAF91nA3,ZYF,136.28 
[326] QUOTE,BOvGL2MRxg,XDN 
[327] QUOTE,nV1jqGc3b6,PNP 
[328] QUOTE,HPxIuj9S6A,NGG 
[329] BUY,BOvGL2MRxg,IPH,611.67 
[330] SET_BUY_TRIGGER,LAu7ZpcWWv,HSJ,111.04 
[331] BUY,hPnf9OsmbW,BPK,461.79 
[332] BUY,hQaIWhluU7,FIW,29.63 
[333] SET_SELL_TRIGGER,AnPcs8yTdQ,FIY,67.64 
[334] BUY,FLeNlw500v,VBO,656.79 
[335] BUY,28VL4WCD6l,BZH,567.95 
[336] BUY,7UUhSRHInh,YOG,81.92 
[337] SET_BUY_AMOUNT,oAd3QaqYgz,URY,435.00 
[338] SET_BUY_TRIGGER,4vBuSX8YYJ,YBP,121.70 
[339] ADD,6bw5h7oAdg,66382.14 
[340] SET_BUY_AMOUNT,kryOHlcACM,QJZ,652.20 
[341] CANCEL_SET_SELL,cehNQrvm7R,SQO 
[342] QUOTE,mR1GL8In4q,XOA 
[343] SET_BUY_TRIGGER,oAd3QaqYgz,URY,249.00 
[344] BUY,8pCSyzEP5L,OBR,141.20 
[345] SET_SELL_AMOUNT,HBb0dWvkmH,FQG,106.71 
[346] SET_SELL_TRIGGER,wYQUhjq8PE,HCN,0.85 
[347] SET_SELL_TRIGGER,LtO7mQU2OX,DXL,146.43 
[348] SET_BUY_AMOUNT,TViJpUe5JR,MWV,227.06 
[349] QUOTE,U4jQmk30QS,PLA 
[350] QUOTE,hrINHOrbWw,YKB 
[351] SET_BUY_TRIGGER,U4jQmk30QS,HEJ,56.59 
[352] ADD,HGsodwsfKO,81392.54 
[353] QUOTE,NcGvD9d4mj,XLV 
[354] BUY,XwKSBoZ6lO,SOT,708.79 
[355] ADD,JZJCffUI5S,74999.90 
[356] QUOTE,n4E566ZogW,PFN 
[357] ADD,1uGQw5a691,49866.02 
[358] SET_BUY_TRIGGER,x8GMbOCXJX,ZCO,46.62 
[359] BUY,v2iT5RAbiA,GED,88.16 
[360] BUY,uzApK6tlMI,VUS,382.56 
[361] BUY,QXEQWDUSMg,SEW,163.90 
[362] QUOTE,kcrL7pVjFP,OAV 
[363] BUY,HBbyhPrKJi,IIX,667.41 
[364] BUY,HGsodwsfKO,OFP,172.50 
[365] QUOTE,7Jo2brvLiF,VOY 
[366] BUY,ZVyQqBS4Yw,FVD,244.80 
[367] COMMIT_BUY,UuEeoiTzyl 
[368] COMMIT_BUY,hPnf9OsmbW 
[369] COMMIT_BUY,8pCSyzEP5L 
[370] BUY,qE6dGnwk51,POI,525.66 
[371] SET_BUY_AMOUNT,uzApK6tlMI,MLT,411.33 
[372] BUY,e6JAmPjBmb,GAV,428.27 
[373] BUY,lLn3fa1FIk,GKD,446.15 
[374] BUY,kMcjEkmbDd,RQT,227.60 
[375] QUOTE,km22Ao7dfo,CTS 
[376] DISPLAY_SUMMARY,TRCadzjH8F 
[377] SET_BUY_AMOUNT,U4jQmk30QS,WUF,23.40 
[378] DISPLAY_SUMMARY,n4E566ZogW 
[379] CANCEL_SET_SELL,pIkIgs3Y8E,SYT 
[380] QUOTE,JZJCffUI5S,MRH 
[381] COMMIT_SELL,8xgyjkdphP 
[382] QUOTE,p876fU7BEx,RKQ 
[383] COMMIT_SELL,7UUhSRHInh 
[384] BUY,U4jQmk30QS,QZN,527.74 
[385] SELL,3mEsf51UBo,VIK,640.29 
[386] SELL,REUXfFUthD,WDC,618.58 
[387] ADD,xRR8b3q6bp,45661.32 
[388] SET_BUY_TRIGGER,uzApK6tlMI,MLT,194.28 
[389] ADD,8xgyjkdphP,58759.28 
[390] BUY,uzApK6tlMI,NNW,224.73 
[391] COMMIT_BUY,FjKEXA3hdZ 
[392] SET_BUY_AMOUNT,F0mQHf8fev,VVW,103.63 
[393] ADD,TRCadzjH8F,51839.37 
[394] ADD,UuEeoiTzyl,110210.83 
[395] DISPLAY_SUMMARY,hPnf9OsmbW 
[396] SET_BUY_AMOUNT,n4E566ZogW,QJZ,11.66 
[397] CANCEL_SET_SELL,aMMzTGXVGg,UDN 
[398] SET_BUY_TRIGGER,oAd3QaqYgz,LUD,22.81 
[399] CANCEL_BUY,7UUhSRHInh 
[400] QUOTE,NmnabmB6tO,STQ 
[401] QUOTE,6bw5h7oAdg,AZN 
[402] CANCEL_BUY,xka9Jdr7ac 
[403] QUOTE,D6zA2CRl22,DDA 
[404] QUOTE,unNg5XYq8A,OSA 
[405] QUOTE,g3Xh0OB6vf,PVH 
[406] COMMIT_BUY,v2iT5RAbiA 
[407] COMMIT_BUY,28VL4WCD6l 
[408] SET_BUY_TRIGGER,hQaIWhluU7,JMX,10.88 
[409] COMMIT_BUY,k5RWRveCOY 
[410] QUOTE,xRR8b3q6bp,JQJ 
[411] ADD,FOsYiQU5Qk,64750.89 
[412] CANCEL_SELL,REUXfFUthD 
[413] ADD,unNg5XYq8A,66763.12 
[414] ADD,WUsol6wtDm,70603.76 
[415] SET_SELL_AMOUNT,y5IWeezXEN,HRJ,679.06 
[416] ADD,hPnf9OsmbW,74676.86 
[417] CANCEL_BUY,HGsodwsfKO 
[418] CANCEL_SELL,g3Xh0OB6vf 
[419] QUOTE,1uGQw5a691,VOU 
[420] CANCEL_SET_BUY,XwKSBoZ6lO,RVU 
[421] QUOTE,kcrL7pVjFP,PSJ 
[422] SET_BUY_AMOUNT,8IA1PUK3hd,OGB,50.56 
[423] QUOTE,t56BLlGu3K,YUR 
[424] SET_BUY_AMOUNT,JZJCffUI5S,GHL,389.79 
[425] SET_SELL_TRIGGER,VEusTtq5S7,ASJ,81.53 
[426] COMMIT_SELL,3mEsf51UBo 
[427] ADD,VEusTtq5S7,90807.50 
[428] ADD,2GizxWZj6J,62339.45 
[429] SET_BUY_TRIGGER,kryOHlcACM,XXN,263.37 
[430] SELL,LAu7ZpcWWv,FPP,46.06 
[431] BUY,2xvOQRaMMK,VVO,675.72 
[432] BUY,6bw5h7oAdg,MZT,100.55 
[433] DISPLAY_SUMMARY,7UUhSRHInh 
[434] ADD,8pCSyzEP5L,57127.09 
[435] SET_BUY_TRIGGER,TViJpUe5JR,MWV,154.88 
[436] BUY,UuEeoiTzyl,ZGR,261.28 
[437] COMMIT_SELL,hBEPbg75Qp 
[438] BUY,REUXfFUthD,ASJ,57.15 
[439] COMMIT_BUY,BOvGL2MRxg 
[440] BUY,WUsol6wtDm,DXQ,68.95 
[441] ADD,KnTBc3qwcr,74361.30 
[442] BUY,km22Ao7dfo,HDR,99.88 
[443] ADD,AnPcs8yTdQ,55742.14 
[444] DISPLAY_SUMMARY,YBTGw9v3Cl 
[445] BUY,uWX4TGhR6O,QBD,27.90 
[446] ADD,oAd3QaqYgz,54817.78 
[447] BUY,AwEXQhdKGW,OBR,249.77 
[448] BUY,NcGvD9d4mj,AUX,297.41 
[449] BUY,TRCadzjH8F,ATE,676.35 
[450] BUY,xka9Jdr7ac,KXF,493.07 
[451] BUY,9Z89FNPK7B,UTL,713.19 
[452] BUY,NmnabmB6tO,EJW,243.86 
[453] SET_BUY_TRIGGER,hrINHOrbWw,FRB,190.36 
[454] QUOTE,oAd3QaqYgz,MXD 
[455] SET_SELL_TRIGGER,BOvGL2MRxg,IPJ,160.82 
[456] SET_BUY_TRIGGER,xKgBJKhIlx,AOU,1.38 
[457] BUY,kryOHlcACM,HNW,390.36 
[458] COMMIT_BUY,q0Qp5MF3CI 
[459] CANCEL_SET_SELL,UuEeoiTzyl,EIH 
[460] QUOTE,t56BLlGu3K,SSW 
[461] DISPLAY_SUMMARY,7Jo2brvLiF 
[462] SET_BUY_TRIGGER,JZJCffUI5S,GHL,149.01 
[463] CANCEL_BUY,F3iruDCI8F 
[464] BUY,D6zA2CRl22,PSJ,169.30 
[465] DISPLAY_SUMMARY,TRCadzjH8F 
[466] CANCEL_BUY,FLeNlw500v 
[467] CANCEL_SET_SELL,kESyNMCJeA,YTT 
[468] SET_BUY_TRIGGER,F0mQHf8fev,VVW,60.41 
[469] BUY,xKgBJKhIlx,WQC,468.40 
[470] QUOTE,VEusTtq5S7,GGI 
[471] QUOTE,AnPcs8yTdQ,IFI 
[472] ADD,ugupCCzmJf,74927.40 
[473] CANCEL_BUY,QXEQWDUSMg 
[474] QUOTE,cehNQrvm7R,UGT 
[475] SET_BUY_TRIGGER,n4E566ZogW,ZWZ,10.87 
[476] BUY,28VL4WCD6l,WJB,153.93 
[477] BUY,ooUBBK63Qe,RLS,632.61 
[478] COMMIT_BUY,lLn3fa1FIk 
[479] ADD,n4E566ZogW,67530.00 
[480] CANCEL_BUY,UUcfl1X3U9 
[481] COMMIT_BUY,qE6dGnwk51 
[482] CANCEL_SELL,km22Ao7dfo 
[483] COMMIT_BUY,HBbyhPrKJi 
[484] SET_SELL_TRIGGER,HBb0dWvkmH,FQG,39.07 
[485] SET_BUY_TRIGGER,69DAEr1YIe,XPX,118.36 
[486] BUY,vRUafgIjuV,VSE,689.68 
[487] SET_BUY_AMOUNT,eGGeSBtfEQ,QJZ,193.27 
[488] SET_BUY_AMOUNT,lLn3fa1FIk,QJZ,725.27 
[489] SET_BUY_TRIGGER,nV1jqGc3b6,CAX,86.32 
[490] DISPLAY_SUMMARY,FLeNlw500v 
[491] ADD,UuEeoiTzyl,32311.74 
[492] SET_SELL_AMOUNT,HPxIuj9S6A,PLA,219.04 
[493] QUOTE,vmBnGlfW5S,WLT 
[494] COMMIT_BUY,D6zA2CRl22 
[495] SELL,LX1FeVjg6k,QJZ,355.99 
[496] ADD,mR1GL8In4q,56098.84 
[497] COMMIT_BUY,uWX4TGhR6O 
[498] CANCEL_SET_SELL,UUcfl1X3U9,VZB 
[499] QUOTE,VEusTtq5S7,WKE 
[500] BUY,unNg5XYq8A,DHA,561.76 
[501] COMMIT_SELL,LAu7ZpcWWv 
[502] QUOTE,gou39c5KlQ,EED 
[503] BUY,vmBnGlfW5S,LPR,325.53 
[504] BUY,n9qniWnHrs,IPH,609.61 
[505] SET_BUY_AMOUNT,4vBuSX8YYJ,OTI,531.31 
[506] ADD,dALWhJa374,56895.87 
[507] COMMIT_BUY,uzApK6tlMI 
[508] SET_BUY_TRIGGER,8IA1PUK3hd,OGB,20.45 
[509] SET_SELL_AMOUNT,hQaIWhluU7,LUD,93.67 
[510] QUOTE,FOsYiQU5Qk,MIU 
[511] DISPLAY_SUMMARY,HGsodwsfKO 
[512] SET_BUY_TRIGGER,4vBuSX8YYJ,OTI,351.65 
[513] CANCEL_SET_SELL,e6JAmPjBmb,SBT 
[514] DISPLAY_SUMMARY,7UUhSRHInh 
